Count detected,Count not detected,Time of test
11,0,17
11,0,16
11,0,21
10,1,26
11,0,17
11,0,16
11,0,19
11,0,18
11,0,23
11,0,33
11,0,15
11,0,17
11,0,17
11,0,23
10,1,22
11,0,19
10,1,22
11,0,18
11,0,14
11,0,16
11,0,17
11,0,18
12,0,21
11,1,13
12,0,16
11,1,23
7,5,37
8,4,41
8,4,39
9,3,30
0,11,43
9,2,32
9,2,31
8,1,21
9,0,20
8,1,20
8,1,20
9,0,20
9,0,15
8,1,21
9,0,14
9,0,15
4,5,46
6,3,33
4,5,46
9,0,12
9,0,15
9,0,14
8,1,19
9,0,16
8,1,19
9,0,15
9,0,14
8,1,19
9,0,15
9,2,38
9,2,41
10,1,21
11,0,17
11,0,18
11,0,16
11,0,15
11,0,16
11,0,17
11,0,15
11,0,17
11,0,17
11,0,16
11,0,17
11,0,16
11,0,15
7,4,60
11,0,16
0,11,136
11,0,17
11,0,15
11,0,18
11,0,27
11,0,15
5,6,9
11,0,22
5,6,11
5,6,13
5,6,12
5,6,14
4,7,10
8,3,17
6,5,10
6,5,9
7,4,8
4,7,7
11,0,17
7,4,8
0,0,3
0,10,15
11,0,16
4,0,9
7,0,10
7,0,10
4,0,7
2,0,5
4,0,10
4,0,8
4,0,9
11,0,15
11,0,17
11,0,17
11,0,20
11,0,17
11,0,23
11,0,18
7,0,10
7,0,18
11,0,18
11,0,12
7,0,8
11,0,13
11,0,16
11,0,17
7,0,9
11,0,16
7,0,11
11,0,18
11,0,16
11,0,15
11,0,21
11,0,15
7,0,9
11,0,18
7,0,9
4,0,6
7,0,8
7,0,10
11,0,17
